Computing ID,GPA,Class Year,Major,Size Preference,Reading,Writing,Group Work,Time Commitment
lxh4zt,4,4,CS,0,3,4,2,5
bxr8ed,2.8,3,CS,3,0,0,3,0
qah8lr,2.97,4,MAE,0,3,0,3,5
oar7af,3.24,2,CPE,4,0,2,3,1
sno7hs,3,1,CS,1,4,5,4,2
gxy1hi,2.58,2,CS,5,4,3,5,2
lto6qq,3.23,2,CPE,1,0,4,2,1
nel2qw,2.78,2,MSE,0,3,2,1,5
zun2wa,3.39,2,CS,5,0,0,3,5
lay4hy,2.83,4,SYS,4,5,2,5,5
ize5um,3.82,3,SYS,1,1,4,2,3
dua1jt,2.89,4,CHE,4,4,5,2,4
swb6pe,3.07,2,CS,5,1,5,0,1
ple5ti,3.53,3,CS,5,5,1,5,1
igu4br,2.71,1,ECE,1,5,4,3,1
uiv7lt,3.29,3,ECE,4,4,1,4,1
wyv2ha,3.72,4,CS,2,4,1,2,1
tgy7ty,2.56,1,CS,4,5,1,2,5
oqn0rw,3.27,4,CS,5,2,2,1,3
qoc3ej,3.3,4,CHE,4,1,0,0,0
xvx0kk,3.51,3,CS,0,1,5,2,5
afr9be,2.71,1,CS,2,2,2,2,5
kzg1lt,2.67,3,CS,3,3,0,4,4
vya9yd,3.41,3,MAE,0,1,5,4,0
oor6ez,3.32,1,CS,3,0,4,1,1
eak7hs,3.3,2,CPE,1,5,5,5,0
ici3fw,3.34,3,CHE,3,5,5,1,3
xxw2vi,2.93,2,CPE,4,2,5,1,2
ihy5dv,3.29,3,MAE,3,1,3,4,5
thu6se,3.32,1,MAE,5,3,4,5,0
zva9ts,2.91,3,SYS,0,1,2,4,4
eaz8wt,3.95,2,ECE,0,5,2,0,3
zxn0ux,3.39,4,ECE,3,4,0,3,2
ngi9fu,2.72,2,MAE,0,0,2,3,3
zyo8hs,3.46,1,CS,5,2,1,0,1
nbe3zd,2.81,4,CS,0,4,5,3,2
umf1qh,3.51,3,CPE,3,3,2,5,4
tez2oz,3.66,4,CS,2,4,0,4,2
hdh8ku,2.87,4,MSE,2,4,0,3,4
isw8ev,3.59,3,ECE,1,3,1,5,1
tur9bh,3.37,3,CS,0,4,0,4,4
hfr0ez,3.53,4,CS,3,2,3,5,3
ykk7lk,3.96,3,MAE,0,5,5,0,0
wmc8xq,3.1,3,CHE,4,1,5,1,3
ljb0nq,2.9,2,ECE,5,4,5,0,5
fqa9an,2.84,2,CS,0,2,4,3,3
hjy7xe,2.87,3,ECE,0,1,2,4,2
pma4eg,3.17,2,MAE,2,1,3,5,1
dqa0yc,3.34,3,CPE,5,4,2,3,5
udw2ev,3.31,4,CS,3,2,3,3,5
zsr9xv,3.53,3,CS,0,5,2,1,5
auy5bx,3.21,1,MSE,2,4,1,3,0
coq5vr,3.78,4,CS,1,3,0,1,4
siq5oq,3.09,1,CS,5,1,0,4,2
rlj0di,4,4,CHE,2,4,1,4,1
jzb1gm,3.45,3,CS,2,1,3,5,0
ksu3mi,2.86,2,ECE,2,2,4,1,3
ejk4ig,2.77,3,CS,0,0,3,0,1
izs3cy,3.39,1,CS,0,4,0,4,5
ylq1wj,3.11,4,CS,1,5,4,5,1
mrr4tm,3.49,2,CHE,4,4,2,0,1
urs1aa,3.39,3,SYS,4,1,4,4,3
mth6dy,3.17,1,CPE,4,2,3,4,4
egp2cw,2.86,1,CHE,5,3,1,5,2
odt5el,2.59,2,ECE,5,5,2,5,5
ovx8vs,3.02,1,CS,1,2,3,2,4
vrc6kz,3.54,2,CS,5,4,2,3,0
gqy1qh,3.29,3,MSE,4,3,4,3,5
zoy1uj,2.7,2,MSE,4,2,0,0,2
eyi1jj,3.27,2,CS,2,0,3,3,0
jrg5ew,3.35,3,CS,5,5,1,0,3
ded1cz,2.85,3,SYS,0,1,4,4,4
ssg3vk,3.26,3,CPE,0,2,3,2,5
gof4us,3.22,1,CS,2,2,1,2,1
ifw2eo,2.74,1,ECE,2,0,3,4,2
uiq4nk,3.34,1,ECE,2,4,4,5,5
tbg8wq,3.42,1,CHE,0,5,3,1,1
rxk7ic,3.63,1,ECE,4,5,2,1,5
zui2ej,3.62,3,CS,2,1,4,3,0
iwl5ia,2.65,2,ECE,1,2,3,5,1
frl8ia,2.82,1,CS,2,3,0,0,1
iaa3li,3.41,4,ECE,3,2,3,2,5
owa8vi,3.41,3,CHE,2,1,2,3,3
mmc1vt,3.41,2,SYS,0,2,1,4,3
vsx4ro,4,4,SYS,5,0,1,5,4
zwq0oo,3.43,1,CPE,2,2,1,2,0
jnh6ky,3.65,2,ECE,5,2,0,0,3
rum1go,3.58,3,CS,3,3,2,0,5
pxi7ma,3.46,2,CPE,1,0,4,1,3
olr0ro,3.07,4,CS,5,0,1,3,4
gsa8ry,3.5,2,CPE,4,2,2,4,2
fir2ia,2.89,2,ECE,2,5,3,2,4
rqt2bc,3.11,4,MSE,3,3,0,0,1
cvt2dq,3.01,1,ECE,3,2,2,2,1
qdp6ui,3.23,3,CS,5,2,2,4,3
waj5th,4,2,SYS,1,1,4,2,3
wpw3vn,2.45,1,MSE,0,1,2,3,4
zao5ch,3.47,3,CHE,2,5,4,1,4
vle6cp,2.55,1,CS,3,3,0,2,5
hpo8rt,3.01,1,CS,1,4,0,5,0
atv6rd,3.64,2,SYS,4,1,3,1,5
rwz1mg,3.23,4,CS,3,4,4,4,1
wut8bw,2.77,1,ECE,1,0,4,1,5
nkz8zc,2.91,3,CS,0,1,1,2,4
cvy6xp,3.47,4,CS,0,1,1,2,5
lew7gg,2.91,4,CS,3,3,3,5,2
gfj8jx,3.29,1,CS,3,5,0,0,0
hok7do,3.22,1,CHE,5,4,5,5,4
ind8wa,2.94,3,MSE,2,1,1,2,3
cql5vq,4,1,CPE,1,1,2,1,5
yab2bd,3.45,3,CS,3,3,0,5,4
zjw6lf,2.39,1,CS,2,3,5,5,3
ryx1az,3.27,1,MSE,5,5,2,0,3
bsp2yx,2.94,4,CHE,2,4,4,2,1
azi9sk,3.54,3,CS,3,0,0,2,1
nho3pg,2.88,1,CS,0,5,3,4,4
ssv3ro,3.15,4,MSE,1,0,4,0,4
fij3yq,3.4,4,CS,1,2,4,4,2
duh5so,3.55,2,CPE,0,1,2,4,0
can9bk,2.72,3,MAE,3,4,4,4,0
mda0rt,3.07,1,ECE,1,5,1,3,4
kee8or,3.01,2,CHE,3,1,0,4,1
bpd2co,2.94,2,CHE,5,4,1,5,5
bbd8df,3.91,3,CHE,3,4,2,1,2
wuf7ws,3.36,3,MSE,2,4,5,5,0
zfw7cz,2.7,2,CPE,0,1,2,5,4
mlu7oe,3.57,1,MAE,3,5,0,2,1
auc7cp,4,3,MAE,5,3,4,3,1
xfk7qn,3.61,2,CS,4,1,3,4,1
npe4hg,2.59,2,CS,0,4,2,2,5
khe4fl,3.01,2,CS,1,5,0,0,3
lez5sv,3.71,2,MSE,2,2,3,0,5
yax6qu,2.92,2,CS,1,0,4,2,1
pel9cp,3.38,4,ECE,5,4,5,1,4
egd5no,3.51,4,CHE,5,2,2,2,2
wjz2yc,2.83,3,MSE,1,3,5,2,5
nha1ri,3.18,2,MAE,0,4,0,3,4
ron7sk,1.9,1,CS,1,2,5,0,1
jms6io,2.79,1,ECE,3,4,5,0,2
uph0oh,3.1,2,MAE,1,1,0,4,0
jpd7tn,2.7,2,CS,2,5,0,5,0
hrg5rq,3.85,4,ECE,2,2,2,2,4
flc2pj,2.63,1,CHE,4,5,5,2,2
dtp2pv,3.02,2,CS,2,1,3,1,4
ids4oe,3.25,3,MAE,1,1,0,0,2
cqo0kv,3.78,1,ECE,2,5,4,1,2
awu3ib,2.63,1,CS,0,2,5,3,4
umd3sp,3.67,3,CS,2,5,0,4,2
ols0tf,3.2,4,CHE,3,5,3,1,5
pli4mk,2.81,2,CS,0,0,2,0,1
gru8bx,3.38,2,CS,4,2,5,3,2
zzb0vr,3.28,2,CS,3,0,0,2,5
kkg2cp,2.96,3,CS,1,4,0,3,2
yoi9sd,3.23,2,ECE,1,5,4,5,5
skc0ze,3.05,1,CS,1,4,4,1,4
fzt5aw,3.25,3,CS,3,2,5,0,0
tze8ua,3.46,3,CHE,3,5,0,1,3
rsh0iz,3.83,1,CPE,3,4,5,2,2
isi7yl,2.7,1,ECE,0,3,0,2,3
wdi7ek,4,1,SYS,5,1,4,0,2
jgj8bu,2.42,3,MAE,0,5,3,5,4
huq2lw,3.14,3,CPE,1,1,1,4,4
rmf1tj,3.44,3,ECE,5,0,1,3,5
mbf5qr,3.31,1,ECE,2,4,0,3,2
iuw8ov,2.95,1,SYS,1,0,4,2,4
jui3yn,3.12,2,MSE,4,5,2,1,4
add8hq,3,4,CS,0,1,2,1,2
kbh2fo,2.96,1,CS,3,1,1,5,5
nbm1st,3.54,3,CS,0,4,3,4,5
yye9sb,3.34,4,CS,3,5,1,1,5
auv0po,2.92,4,CPE,5,3,0,3,5
jhv7rk,3.56,2,MAE,4,3,3,1,0
yws5fo,3.32,1,CS,5,4,2,4,2
gaa7ro,3.53,4,CS,4,5,4,3,0
pvw2xf,3.45,3,CS,0,4,4,1,4
qcm4el,2.87,4,MSE,3,5,0,3,0
gnf8zz,2.98,4,SYS,5,0,1,2,5
dsa5ae,3.5,3,CHE,4,4,0,2,4
ukn3we,3.44,1,CHE,1,5,4,5,0
bhx8po,3.19,1,ECE,1,3,2,2,0
hry2gx,3.25,2,MAE,5,5,4,1,2
rdd0lj,3.71,4,MAE,3,5,3,4,0
ruj3wq,2.96,3,MSE,5,4,5,3,4
rhz5fd,3.42,2,CS,0,0,4,0,5
syv7qr,3.12,4,CS,4,0,4,2,2
byu0pu,3.11,1,CS,0,0,5,2,0
ipv6mf,3.64,3,ECE,1,0,3,0,2
qqt9vw,3.53,1,MSE,4,2,1,0,3
rhs9wi,3.53,4,ECE,5,4,4,1,2
vbp0ra,3.72,1,ECE,0,1,0,3,5
kbt1xa,3.21,3,ECE,2,4,4,2,3
fkm0pt,3.47,2,CS,3,2,0,4,3
grs0ku,3.08,2,CS,3,0,3,1,2
mjy5om,3.33,2,SYS,2,2,4,1,4
lyy9mj,3.15,2,ECE,1,3,3,4,5
bmx0qv,3.24,2,CS,4,3,3,4,4
uzh7uw,3.44,3,CS,3,4,1,5,5
xcp8ke,2.87,3,CS,2,4,4,4,5
gbg1sb,4,1,CS,5,1,0,0,4
dcn5jn,2.8,1,ECE,2,1,0,2,1
jip3pf,2.71,2,ECE,1,3,4,5,3
udj5tp,3.66,1,ECE,1,0,5,0,2
xcb9ym,3.52,2,CHE,0,2,1,5,4
bso9ei,3.45,3,CS,3,1,1,2,4
ody7oe,3.45,1,CS,0,5,1,5,2
fdt7dx,3.2,2,ECE,2,1,0,0,3
nle8yb,2.84,2,CHE,4,0,3,3,2
lxb1nh,3.23,4,CS,4,0,5,2,5
boz8zm,2.93,3,CHE,1,4,1,1,1
zpr8zq,3.59,1,CS,4,2,0,2,5
blp2ee,3.14,4,CS,4,0,0,2,1
prz7ia,2.87,2,MAE,4,1,3,2,2
hit1aq,3.07,2,CS,2,1,4,3,5
wze5ra,3.37,4,CS,4,3,4,0,3
gob9ez,2.97,4,ECE,5,0,1,1,5
fjj7wv,2.87,3,ECE,4,5,1,0,4
nrc0qx,3.3,1,ECE,4,4,5,5,1
dru0zi,3.3,4,ECE,0,2,3,5,1
lmg7on,3,1,CS,2,5,1,5,3
xgz7wm,3.01,1,CS,1,4,3,0,1
xmi5yn,3.29,2,CPE,0,1,0,4,1
zaq3ei,2.62,1,ECE,3,5,1,3,3
fjo7km,2.64,1,CS,2,4,0,4,5
dia5fo,2.91,4,CS,5,1,2,5,2
vry9st,3.11,1,CS,2,1,3,3,5
rvp4vj,3.32,4,CPE,3,1,2,0,4
wsv6yz,3.79,2,CS,3,1,1,5,4
qeq0uq,3.54,4,CS,3,1,0,0,1
xys4vj,3.14,3,ECE,1,3,1,3,4
fxm0ct,3.19,1,CS,4,5,2,0,2
jzb0at,2.8,3,ECE,2,4,1,0,1
zdy5pj,3.19,4,SYS,4,3,5,1,4
joy7nj,3.08,2,ECE,4,3,4,4,0
ylv2ft,3.33,1,MAE,5,0,2,4,0
mzu0dh,2.87,3,MAE,3,0,1,4,0
nvc2tx,3.41,3,CHE,1,0,0,2,0
wmd7hj,3.81,3,ECE,5,2,1,1,5
uaw6sx,3.16,1,MAE,0,0,0,5,0
mgc4vd,3.36,1,CS,1,4,4,5,1
uro5ct,3.48,1,MAE,4,3,1,5,3
kql3lj,3.04,1,SYS,1,4,4,4,5
omr1da,3.29,4,CHE,3,5,2,4,3
upk6am,3.21,1,MSE,0,0,0,1,1
vil6mu,3.24,3,CS,3,2,5,0,1
pln9fo,2.89,1,CS,0,5,2,4,2
yje9zm,3.21,3,ECE,5,2,0,5,5
nxq9fu,3.4,3,CS,4,5,4,0,3
nmo7vj,3.78,3,CS,0,3,3,4,0
gsz4df,3.58,1,MAE,0,4,1,3,1
tib3vu,4,1,MAE,0,1,4,2,0
xmq8mt,2.89,4,CS,1,4,0,4,3
pts5kz,3.55,2,SYS,5,0,0,3,5
klk0ij,3.27,1,MSE,1,1,0,1,4
snp4cj,4,1,MAE,4,2,0,3,4
zvt6kg,2.88,4,CPE,0,3,1,1,1
dis0tc,2.86,3,ECE,5,3,2,4,2
keq6kt,2.96,1,CHE,5,2,5,1,0
yyi2fx,2.35,3,CS,2,0,3,3,1
axu1kp,2.99,2,ECE,4,2,1,2,2
dcq7ip,2.9,3,MAE,5,5,0,0,0
jlg7fv,3.26,3,CPE,0,0,1,0,3
fuo1fm,3.34,4,CS,0,1,4,2,4
gkk5ae,3.95,1,CHE,5,2,5,5,2
bkw9ry,3.58,1,CS,1,0,0,0,0
ljr5iy,2.97,3,MSE,4,1,3,4,1
ocx1vf,2.84,1,CS,0,2,0,5,0
fea9yb,3.4,4,MAE,5,3,5,4,1
uwr3gd,2.67,3,CS,0,2,3,3,4
ztb3vp,3.93,2,CS,5,4,5,3,4
gjs3zi,3.67,1,CHE,4,2,3,5,0
nlk5oa,3.01,2,ECE,5,4,2,5,0
qsx1ng,2.51,3,CS,2,1,2,5,1
tng1zh,3.74,1,CHE,5,2,1,5,1
uaj3it,3.15,3,CS,5,1,1,1,2
edp5as,3.7,4,MAE,4,1,3,5,2
jqq1xm,2.56,4,MSE,5,0,0,5,2
stl0hv,2.96,2,CS,4,1,4,3,0
odg6qy,3.2,2,CPE,2,1,4,4,5
zbq3mw,3.22,2,CS,4,2,0,3,5
lcs2al,3.02,1,CS,0,2,0,0,5
dgx4yg,3.45,2,CS,4,3,2,1,5
vol5fh,2.77,3,ECE,2,0,4,1,2
goc2iv,3.14,1,CHE,3,1,3,4,0
dlp8px,3.25,3,CHE,5,0,5,5,5
uru6xh,3.41,1,CS,4,4,1,3,4
vpt3zs,3.48,2,CHE,5,1,5,0,3
opv0ib,2.75,3,MAE,1,0,2,3,4
ycu0ar,2.59,2,CS,0,3,4,5,0
bjw0hk,3.71,4,CS,0,3,0,5,0
amj0lk,3.33,4,CS,1,1,4,2,3
yud7lk,2.9,3,ECE,1,4,3,3,1
dyj1sh,3.82,1,CS,4,3,2,4,1
hmt3jd,3.25,2,CS,1,3,0,3,1
smc7rr,3.67,1,CS,3,4,5,1,2
yxj2sl,3.23,2,CS,5,0,3,0,1
gsl7bj,4,2,MSE,5,3,5,4,2
rvq9tr,3.9,2,CS,2,2,1,2,2
srq8ch,3.1,4,CS,1,5,2,0,1
qak0sd,3.59,2,MSE,1,5,3,0,1
mnu6js,3.46,4,CHE,3,3,3,1,3
ysh7gp,3.75,3,CHE,0,0,5,1,5
pnt9bp,2.81,3,CS,0,0,0,1,3
shx1gp,3.47,2,MSE,5,1,1,4,2
pue4ip,3.62,2,CS,5,2,5,3,3
kup0xu,2.5,3,MSE,4,0,3,0,2
hqb4xn,2.73,2,CS,3,4,2,3,0
nxr2pe,2.38,1,CS,2,2,3,3,2
upt5ow,3.09,2,CS,2,5,4,1,2
fqj0cc,3.49,3,CHE,3,2,2,3,3
zfq7ky,3.8,1,CS,2,4,2,0,5
klm7jf,3.23,3,CS,0,3,3,0,0
mcj2ey,3.85,1,CPE,2,4,0,5,4
ieg2du,2.65,1,MAE,2,4,2,2,4
nqy5nh,2.52,1,CS,3,3,4,4,5
gmo7ko,3.18,4,CS,3,3,5,3,4
wwg1ps,3.35,3,ECE,2,3,0,4,0
ivd5zr,3.19,2,CS,1,3,0,4,1
llq6cn,2.37,1,CS,3,3,0,4,0
jko4dx,3.16,2,MSE,4,4,2,5,3
bhk3im,2.68,3,CS,4,1,0,4,2
pxc1zm,3.47,3,MSE,0,1,3,5,2
bph5xy,3.35,4,ECE,2,0,0,0,3
zfy2fv,2.82,1,SYS,1,1,4,3,3
psk9he,2.99,1,ECE,0,5,1,5,2
bvi1sz,2.78,1,ECE,2,1,4,2,5
krr7rw,3.17,2,CS,3,4,2,4,1
xij1ej,3.58,3,CPE,4,3,0,2,1
zay6ws,2.81,2,CS,5,3,0,0,1
jxz6cr,3.4,3,CS,1,4,3,0,3
jne0nq,2.99,1,CS,5,5,5,1,2
jai8er,2.88,1,CS,4,1,0,4,5
fts3fh,3.16,1,MSE,5,4,4,1,2
dee4cq,2.79,3,ECE,3,0,2,2,2
lji0mj,2.98,1,CHE,2,3,1,3,5
eve2ag,2.72,1,CS,3,2,0,1,0
drf6rs,3.99,3,CHE,5,0,1,0,5
gas0it,3.21,2,CHE,3,5,0,4,0
qft3eg,2.92,2,MSE,4,0,2,2,4
ioe0eg,3.29,4,CS,1,4,5,5,0
fvh2to,3.16,3,CS,3,1,4,0,1
qai1dk,3.11,2,SYS,4,3,2,5,1
zwy2vb,3.45,2,CS,1,5,1,3,5
zrz6ak,3.5,3,CS,2,5,0,4,1
ozr7rt,2.99,2,MAE,5,2,1,3,1
cok0ig,2.97,3,CS,2,0,4,3,4
iqv4zx,3.09,4,CS,0,2,2,4,1
pni7mv,2.28,2,CS,4,1,1,4,3
ywp5dk,2.59,4,CS,1,1,1,5,3
dyf1ts,3.75,1,CS,3,2,4,3,3
nzt3ly,3.86,1,ECE,2,3,0,2,0
jbl0bb,3.1,1,ECE,1,1,1,5,5
ioh6ix,3.43,2,MAE,4,2,4,4,5
veb7um,3.32,1,CPE,0,0,0,0,2
zbj3rj,4,3,MAE,2,2,5,5,4
evi9fz,3.65,1,CPE,5,2,0,1,3
lxg9ze,3.15,1,ECE,1,4,5,2,3
ewy7kt,2.82,3,CPE,5,1,2,5,1
qcc3jr,2.56,2,CHE,1,3,4,4,3
tnu9wn,3.28,1,SYS,1,3,0,4,1
dgp0gw,2.9,3,CHE,4,4,5,2,1
aqw6os,2.63,1,CPE,4,5,5,1,2
cay9ou,2.94,1,SYS,4,3,2,5,0
kmq5iv,2.77,2,CS,3,2,3,5,1
mxa2zh,3.87,2,CS,1,4,4,3,1
yhm2pk,3.55,3,ECE,2,0,3,0,5
oof8pn,3.2,3,CHE,5,1,0,4,2
rqi4ss,3.79,1,SYS,4,1,4,5,1
akd6ws,3.23,3,CS,4,1,2,5,4
yyk9ap,2.86,1,CS,5,2,0,5,0
xdr2fi,3.81,3,CHE,5,0,4,1,4
ipp9re,3.42,2,CS,1,4,4,0,3
hso9pe,2.79,2,CS,4,4,3,5,0
bzc4ax,3.12,4,ECE,5,1,0,2,3
bzj9la,2.85,3,MAE,3,0,2,4,5
hkl6gx,2.65,1,ECE,3,0,2,3,1
vzv0wp,3.57,2,CS,4,0,0,2,2
vbp8ip,3.96,3,CS,5,3,0,4,4
zkk9ra,2.64,1,CS,1,3,5,1,3
xqx8ps,3.43,1,SYS,1,1,1,0,1
jmg5yl,2.94,1,CPE,1,0,3,0,4
yxd2xo,3.01,4,CS,0,5,0,4,4
tuh7ho,2.96,4,SYS,4,0,0,2,5
gup1gk,2.85,3,MSE,1,4,1,3,5
lzw9zt,3.22,2,CS,3,4,1,1,3
ljn3bj,2.87,4,CS,5,1,4,4,1
ugm9lg,3.31,1,CS,2,5,2,1,2
xhn2ps,3.18,4,ECE,2,0,3,0,3
ybp7dj,3.1,4,SYS,1,5,4,5,4
coe2it,2.84,2,ECE,2,1,0,5,4
ezg1pi,2.97,1,CPE,2,4,1,3,0
knl2il,3.5,4,CS,0,4,5,1,1
glp4vz,3.4,3,MSE,3,3,2,4,0
fkn6uu,2.81,1,ECE,3,1,4,3,5
hrk2gr,3.24,2,CS,0,1,5,2,2
pts3cb,3.5,2,SYS,0,0,2,5,3
avq9go,2.53,1,ECE,2,0,5,4,4
azd3xd,3.42,2,CS,4,3,1,1,1
uce8lk,2.93,4,SYS,5,2,4,3,4
wzg6fs,3.43,4,SYS,5,5,4,4,5
svp7wl,2.89,3,CS,2,2,2,3,0
jfp4ub,2.48,4,SYS,5,2,5,3,0
pdm4vr,2.55,1,ECE,0,1,1,3,3
env4qj,3.22,3,CS,3,5,0,1,1
eoh6cq,3.3,3,MSE,5,1,4,4,5
kik7fr,2.84,4,SYS,2,5,0,0,1
ute1im,3.46,2,CS,4,4,1,0,3
tge1eu,2.54,1,CS,2,1,4,1,5
upa8yu,3.17,4,CS,1,1,4,1,5
xao4ng,2.72,3,CS,2,1,5,5,0
jqi0cx,2.94,1,CHE,0,3,0,3,0
htl6ij,3.22,4,ECE,3,1,5,4,0
