Computing ID,GPA,Major,Size Preference,Reading,Writing,Group Work,Time Commitment
roj4id,3.15,CS,1,1,1,3,0
jly9qj,3.08,MAE,5,5,1,3,2
btr1pp,2.61,MAE,3,3,4,2,4
hha1ae,2.91,ECE,5,4,5,2,4
iyl5ep,3.02,ECE,1,2,4,5,2
dua0yw,3.62,CS,4,1,1,1,2
cqn9ur,3.34,CHE,2,2,3,2,1
yxs5kv,2.49,CPE,4,4,4,3,4
tgq4md,3.33,CHE,4,1,5,4,2
bqb4dy,3.05,CHE,1,4,1,5,4
qqq7dx,2.93,CS,5,2,4,2,0
fkb7mk,3.44,CHE,3,3,4,4,3
doi8yw,3.61,CS,4,2,4,4,3
ugv8fu,3.57,ECE,5,2,4,2,5
vml7ju,2.86,CS,3,2,3,1,2
zxd5dk,3.08,CS,4,5,5,1,2
nsq3ka,3.33,CS,3,4,5,5,4
dxu8vv,3.59,CS,5,4,1,1,5
mct3uh,3.01,MAE,2,4,2,5,2
ukn3we,3.13,ECE,5,5,3,3,4
idl8wl,2.76,CPE,1,3,1,2,2
ahd5zp,2.72,CS,3,2,1,4,4
blh6ch,3.53,CS,2,3,4,5,2
qzg5ds,3.74,MAE,3,5,2,1,1
pnd0fy,3.17,MAE,3,4,2,5,4
feh2aq,3.6,CS,4,2,3,5,1
yky5up,3.34,CS,1,1,2,1,1
fwr6au,2.94,ECE,3,1,1,1,1
fcz0fr,3.34,CS,5,3,2,2,1
xjd9hi,3.82,MAE,5,4,2,4,0
hmf6tg,3.19,CS,4,1,5,2,5
evt2ps,3.83,MAE,1,3,1,2,3
tfm9xp,2.15,CS,1,5,2,1,0
pee2fq,3.53,MAE,5,3,2,1,2
bbd8df,3.23,CS,2,3,4,4,2
ghp1wl,3.08,CPE,4,3,2,5,5
twc0gq,3.24,ECE,4,2,2,2,3
xmd2rh,2.4,CS,5,3,5,4,3
uet2tm,3.11,CHE,5,3,1,2,3
diz3bg,3.34,CPE,2,2,3,5,1
mda0rt,3.79,CS,2,2,1,2,0
qze9gf,2.99,ECE,1,5,4,3,2
eti5cs,2.88,CS,4,4,1,4,0
hje8ec,3,CS,4,1,2,1,0
vsm0bg,3.57,CS,5,1,4,2,0
fnm8wr,3.33,CS,1,3,1,4,3
dka0fg,2.99,MSE,4,5,4,4,5
upi7lf,3.41,SYS,1,3,3,2,5
krh1zm,3.24,ECE,1,1,1,1,3
rrk9yc,3.59,SYS,5,2,2,1,2
hap5ik,2.92,CS,1,4,4,2,2
dhb3ci,3.07,SYS,2,5,5,4,2
mit6li,3.04,CS,2,2,4,1,5
tww3bv,2.61,CHE,3,4,5,2,5
rwo3zw,3.32,ECE,5,5,2,2,0
cxy2fh,3.3,CS,3,5,3,2,3
lup7rq,3.2,CS,2,1,5,4,1
rcb6ks,3.11,SYS,3,2,3,1,0
gew1yy,2.63,CS,5,5,4,4,4
hlp3xc,3.03,MAE,5,5,2,3,5
sle9at,3.06,SYS,1,4,5,1,0
rjx7sn,2.88,ECE,4,1,4,4,3
tcm7uk,3.14,ECE,1,3,1,1,4
its5ia,3.36,MAE,5,1,4,3,0
tnu9wn,3.95,ECE,2,3,3,5,3
kmt7mq,3.27,CS,2,2,2,2,3
psz5jc,3.3,ECE,1,2,2,4,5
fmq6ak,3.17,CHE,5,5,4,3,1
zrb5fc,2.43,SYS,2,2,1,3,0
xfx4at,3.19,CHE,5,5,3,1,3
pyl2ep,3.22,CS,2,1,4,1,2
iyf2yw,4,MSE,5,2,4,2,3
fyy9qx,3.12,CS,3,1,2,1,1
jap5fb,3.32,CS,5,1,3,4,3
eee3oe,3.19,MSE,5,2,1,4,5
des4wj,2.73,CS,1,1,2,4,0
nai3it,3.66,CS,3,2,4,5,5
spc7fv,3.5,CS,4,2,2,4,0
sxt8bb,3.52,CS,1,2,2,1,4
umm1hj,2.84,CS,4,3,5,1,0
ael9er,3.76,CS,2,1,2,4,4
uct1pz,2.64,CPE,4,4,2,3,5
npy1xp,3.43,SYS,5,2,3,3,2
phs3fc,4,CS,4,1,2,3,1
gdx5ew,2.8,CS,1,5,1,2,2
qtz4zb,2.97,MAE,1,2,4,5,4
hrp4tl,3.24,CPE,4,2,3,4,3
sma3zt,3,CS,1,4,2,2,3
dek7jm,2.58,CS,1,3,1,3,2
opz7uw,3.23,CPE,4,3,4,4,3
wzf3wo,2.78,MSE,3,2,3,2,4
jko0ce,3.39,CS,3,1,1,1,5
qha5if,2.83,SYS,2,5,2,3,1
kbg5aw,3.82,SYS,1,5,5,2,0
rbm2wy,2.89,CHE,4,1,5,1,4
cmt1ro,3.07,CS,1,2,3,3,4
ugv6mi,3.53,CS,5,5,1,5,0
quk0dj,2.71,ECE,1,3,4,3,0
dsb0ri,3.29,ECE,1,1,1,5,1
dog7pw,3.72,CS,3,4,5,5,1
mtt7rw,2.56,CS,4,2,3,5,1
hru5ng,3.27,CS,1,1,2,4,3
koq4rx,3.3,CHE,3,5,1,4,4
jfb1xa,3.51,CS,2,2,5,5,5
rvm6qn,2.71,CS,3,3,4,1,0
nyl3ao,2.67,CS,3,2,3,5,4
det8cx,3.41,MAE,3,2,2,2,4
kfn9xw,3.32,CS,1,3,1,5,1
whs4xq,3.3,CPE,1,3,4,4,1
cnb7hu,3.34,CHE,2,2,2,4,4
slq2le,2.93,CPE,5,3,5,2,1
axw8ax,3.29,MAE,5,1,5,2,3
pzf4ml,3.32,MAE,5,3,4,3,0
igy0xy,2.91,SYS,2,3,5,1,4
gdw0uz,3.95,ECE,5,2,3,1,0
zbq3mw,3.39,ECE,5,1,4,1,3
ajx7gi,2.72,MAE,3,4,5,4,1
yir3tt,3.46,CS,1,4,1,1,2
vmn0yx,2.81,CS,1,5,5,3,3
hgx8wf,3.51,CPE,3,3,3,3,2
hlh9kf,3.66,CS,3,3,2,1,0
mmc1vt,2.87,MSE,3,1,2,2,4
dyr0sh,3.59,ECE,1,4,5,3,1
hdq4yk,3.37,CS,5,5,2,2,3
imd6xz,3.53,CS,3,1,5,4,1
ecj0zi,3.96,MAE,2,3,3,3,2
yje0cd,3.1,CHE,3,4,2,2,2
nhb0hh,2.9,ECE,4,5,1,1,5
teq6ji,2.84,CS,3,2,5,4,4
flw7ld,2.87,ECE,1,4,2,5,2
fdu0eh,3.17,MAE,3,5,3,5,4
rcw8cs,3.34,CPE,4,1,3,1,5
gtn3jt,3.31,CS,2,2,1,4,3
teg8go,3.53,CS,5,5,3,4,5
elz4aq,3.21,MSE,3,5,3,4,4
kbe5yb,3.78,CS,4,3,2,4,2
krl4eb,3.09,CS,4,4,5,5,0
sge3ho,4,CHE,2,3,4,2,4
byj8rb,3.45,CS,1,2,3,4,1
gah9dr,2.86,ECE,3,5,3,2,0
xbm7ah,2.77,CS,4,3,4,4,4
ljn5ak,3.39,CS,2,4,3,3,1
klg7sn,3.11,CS,5,2,2,3,5
hdj1gd,3.49,CHE,4,1,2,3,0
pmn8on,3.39,SYS,2,3,4,4,4
zqj0wg,3.17,CPE,1,2,3,2,3
cel9uf,2.86,CHE,1,1,3,5,5
odg3ic,2.59,ECE,4,3,5,1,1
iba8ik,3.02,CS,4,2,3,5,3
ieg2du,3.54,CS,3,2,2,4,2
wbk4ft,3.29,MSE,2,3,1,3,5
cee3xa,2.7,MSE,4,2,1,3,5
pxj5yt,3.27,CS,3,5,1,2,4
nyn4wt,3.35,CS,3,3,1,4,4
ewu4yk,2.85,SYS,4,2,3,5,1
emr7gq,3.26,CPE,1,1,3,4,5
pnr9gk,3.22,CS,2,1,5,4,4
kqq2pn,2.74,ECE,2,5,3,3,2
gkg2rs,3.34,ECE,1,3,1,5,4
uiv7lt,3.42,CHE,4,2,4,1,5
eje8ea,3.63,ECE,2,2,4,3,0
cix6ou,3.62,CS,4,1,2,5,3
rpl0gi,2.65,ECE,4,5,2,2,5
opo6av,2.82,CS,3,1,3,3,2
ppw3sh,3.41,ECE,1,1,4,2,5
ckr5ct,3.41,CHE,4,5,1,3,2
jns5oe,3.41,SYS,5,3,1,4,5
xqf6cn,4,SYS,1,2,1,5,3
zdr8bz,3.43,CPE,2,3,3,2,3
yyi1wj,3.65,ECE,3,4,3,3,2
uhz7jj,3.58,CS,2,4,5,2,5
hbs8at,3.46,CPE,2,4,1,3,3
vxa6nb,3.07,CS,1,5,1,3,1
spw2kv,3.5,CPE,2,1,3,1,5
cwc9vk,2.89,ECE,4,3,3,1,3
yix9ra,3.11,MSE,2,2,5,1,0
sxl2fo,3.01,ECE,3,4,5,2,0
ztz1zg,3.23,CS,3,3,2,4,1
wuy3ro,4,SYS,5,4,4,3,3
qpb8wi,2.45,MSE,3,4,1,5,0
zut4ut,3.47,CHE,2,2,1,1,5
isu1ko,2.55,CS,3,5,5,2,4
oor0xk,3.01,CS,1,1,5,2,3
xjo8nn,3.64,SYS,3,5,2,2,1
chd7cx,3.23,CS,4,3,4,5,3
ggi1xb,2.77,ECE,1,5,2,5,2
xxc2sk,2.91,CS,5,3,4,1,2
lhb4ax,3.47,CS,4,3,1,5,0
qeb7vt,2.91,CS,2,1,2,1,2
lhu0ze,3.29,CS,2,2,5,5,1
kij7ll,3.22,CHE,2,1,2,5,0
dmt3my,2.94,MSE,4,5,2,5,1
hyb2cf,4,CPE,4,3,1,1,5
ghc4br,3.45,CS,4,4,5,3,1
oxd6dx,2.39,CS,1,4,5,1,2
hmw7gh,3.27,MSE,1,3,3,3,5
trn3pm,2.94,CHE,2,1,3,2,2
okp3ee,3.54,CS,3,2,3,2,1
yxz6za,2.88,CS,2,1,1,1,2
uem6li,3.15,MSE,5,3,2,3,2
zdj3lf,3.4,CS,1,3,5,3,2
lnt4cu,3.55,CPE,4,2,5,3,3
gka5kl,2.72,MAE,1,5,2,2,5
buu9jk,3.07,ECE,4,5,5,1,5
urj6wu,3.01,CHE,5,2,2,4,5
pnw4bx,2.94,CHE,5,5,1,3,1
avi3lg,3.91,CHE,1,4,1,3,4
bvb0kv,3.36,MSE,4,5,1,4,1
krq9yk,2.7,CPE,5,5,2,1,5
lws6jk,3.57,MAE,2,5,2,3,0
utk8hv,4,MAE,2,4,4,1,2
kda1dh,3.61,CS,4,5,5,3,2
tsi4yz,2.59,CS,1,4,5,5,4
veg1ek,3.01,CS,5,2,4,3,0
yjo3gs,3.71,MSE,1,1,4,5,3
tdh9lf,2.92,CS,2,2,1,1,1
vmq0cx,3.38,ECE,5,1,4,3,3
axe3ji,3.51,CHE,1,2,2,2,0
ztx7cc,2.83,MSE,3,1,3,2,4
wco8cq,3.18,MAE,4,1,2,4,0
bet8qb,1.9,CS,4,3,4,2,4
yxc3kj,2.79,ECE,3,1,5,5,3
wql4bw,3.1,MAE,2,1,2,2,3
nuc9mz,2.7,CS,5,3,5,2,0
pft1ha,3.85,ECE,4,5,2,2,0
umn1qe,2.63,CHE,3,5,5,3,2
vxr5cu,3.02,CS,3,3,2,4,4
ldt8na,3.25,MAE,2,4,5,1,2
pfj3et,3.78,ECE,2,1,3,4,1
ypw2uy,2.63,CS,1,1,1,5,1
zyj2yz,3.67,CS,4,3,2,3,0
jau2bk,3.2,CHE,1,3,3,3,3
cjo7dp,2.81,CS,3,4,1,2,1
qmx0gq,3.38,CS,5,5,2,2,1
gov2ap,3.28,CS,5,2,3,5,2
syw7pa,2.96,CS,2,5,3,3,2
xnw1oc,3.23,ECE,5,1,3,1,1
rbm5na,3.05,CS,5,3,4,4,0
chp1oq,3.25,CS,5,4,5,3,2
jhs6yb,3.46,CHE,3,5,1,1,1
ack8vt,3.83,CPE,5,4,5,1,3
irz4pa,2.7,ECE,5,5,5,4,2
rkg7ub,4,SYS,5,1,5,1,1
qkl8bo,2.42,MAE,1,2,3,5,4
kzi0ps,3.14,CPE,3,4,5,1,2
dpv1tf,3.44,ECE,2,4,4,5,4
lss4kv,3.31,ECE,1,2,2,1,2
zip2yj,2.95,SYS,4,4,3,2,2
qgi8io,3.12,MSE,3,4,1,1,5
ukh5bj,3,CS,3,5,2,5,5
nqv1nt,2.96,CS,4,5,2,1,4
grh9sz,3.54,CS,4,2,2,1,0
tcc6lo,3.34,CS,4,1,5,1,1
xuo0wg,2.92,CPE,2,4,5,5,0
awu3ib,3.56,MAE,5,1,3,1,0
dsh2fu,3.32,CS,3,2,5,4,5
cgh4in,3.53,CS,5,2,5,4,1
vxu3pj,3.45,CS,5,5,5,5,5
vyk1ay,2.87,MSE,4,4,3,2,5
you4qw,2.98,SYS,2,3,3,4,5
wjp6pi,3.5,CHE,1,2,4,3,3
wif8dc,3.44,CHE,2,4,4,4,0
eew2hp,3.19,ECE,5,1,4,3,0
kln7ba,3.25,MAE,2,5,4,5,0
jny1vb,3.71,MAE,4,1,2,2,3
bou3tk,2.96,MSE,1,2,2,3,2
dmg1xh,3.42,CS,4,2,4,3,4
rrr2ne,3.12,CS,1,1,4,4,4
aho3cm,3.11,CS,5,2,1,3,3
nef9gf,3.64,ECE,1,4,2,5,0
pqg5ei,3.53,MSE,1,2,1,5,4
kkt8kk,3.53,ECE,1,5,1,5,3
wqm7ez,3.72,ECE,2,4,5,4,5
glw6mz,3.21,ECE,2,3,3,2,1
ofm4ft,3.47,CS,5,2,2,4,4
dqb1re,3.08,CS,1,2,4,5,1
ihs2cq,3.33,SYS,3,5,4,4,0
nfm5zf,3.15,ECE,5,5,3,5,4
uvo7ae,3.24,CS,1,1,2,1,3
kqo7ji,3.44,CS,1,1,4,1,2
oat7wx,2.87,CS,2,1,4,3,4
hza2pz,4,CS,5,5,5,2,4
nzh5qz,2.8,ECE,1,1,1,1,4
byw6gw,2.71,ECE,1,1,4,5,4
qox7rj,3.66,ECE,5,3,2,4,3
vty3pi,3.52,CHE,3,1,3,4,3
nyj9cx,3.45,CS,5,2,5,3,2
sti3jk,3.45,CS,5,5,2,4,3
uxo2ee,3.2,ECE,3,4,5,1,3
oqx7fy,2.84,CHE,5,3,1,4,0
lca7lc,3.23,CS,1,5,4,1,0
ecy4zr,2.93,CHE,5,5,2,1,1
smc7rr,3.59,CS,3,2,3,2,2
iup1xi,3.14,CS,4,1,1,3,0
cfo7gi,2.87,MAE,5,2,1,5,2
eht9xl,3.07,CS,2,1,5,1,2
tvu5og,3.37,CS,1,1,1,3,4
hci5bz,2.97,ECE,1,5,2,5,5
stw6dj,2.87,ECE,2,1,5,4,5
qnh4jn,3.3,ECE,2,3,1,3,5
hqm9zz,3.3,ECE,5,3,3,3,2
fin3xs,3,CS,2,3,2,3,4
wcn3jx,3.01,CS,4,5,3,4,1
asy8wm,3.29,CPE,3,2,3,4,1
tdj4oo,2.62,ECE,2,4,5,3,5
vwe1mt,2.64,CS,2,1,4,2,1
xje9yz,2.91,CS,4,4,5,1,4
zwy2vb,3.11,CS,1,2,2,4,5
aiv1cw,3.32,CPE,1,2,2,2,4
oud0eg,3.79,CS,5,5,5,4,1
pwj1zt,3.54,CS,4,3,4,3,5
rts9lm,3.14,ECE,3,3,5,2,4
hdu1nw,3.19,CS,3,2,2,5,3
kvd8oz,2.8,ECE,4,5,4,1,3
egv1td,3.19,SYS,3,5,2,1,4
msl6pu,3.08,ECE,1,1,4,4,4
nwy0sa,3.33,MAE,3,3,4,1,0
flr1dn,2.87,MAE,3,2,5,5,0
anl3ig,3.41,CHE,4,4,5,2,2
tom9fh,3.81,ECE,4,3,5,2,5
dji4gc,3.16,MAE,3,1,4,3,2
okg5mu,3.36,CS,2,5,4,2,2
cxf8hp,3.48,MAE,4,2,2,4,1
kmq5iv,3.04,SYS,5,3,3,5,3
ane2do,3.29,CHE,5,4,5,3,1
pfy9ae,3.21,MSE,1,1,2,4,5
jag0nx,3.24,CS,3,1,2,4,4
fzj4tl,2.89,CS,2,3,1,4,0
snv5bw,3.21,ECE,1,4,5,1,5
ahp7nu,3.4,CS,3,1,2,4,4
did6jm,3.78,CS,4,2,1,1,5
eiq1gl,3.58,MAE,5,1,5,2,4
lxn9xf,4,MAE,2,4,4,1,0
koi7ur,2.89,CS,5,5,1,4,4
ygk9vq,3.55,SYS,4,5,4,5,2
urd7yc,3.27,MSE,3,3,3,5,5
sof2dv,4,MAE,4,4,3,2,0
mzu5lv,2.88,CPE,4,1,3,4,4
bwl8om,2.86,ECE,5,1,3,1,2
dyx8sj,2.96,CHE,2,5,2,5,2
yaq7qf,2.35,CS,4,5,3,3,3
yxf6wy,2.99,ECE,5,2,2,4,2
xex9zs,2.9,MAE,2,5,2,4,1
kno9ja,3.26,CPE,3,2,5,3,0
vyb7ck,3.34,CS,3,1,2,5,0
pqa0ia,3.95,CHE,1,2,2,3,0
rqw3vt,3.58,CS,5,2,3,2,4
ody7oe,2.97,MSE,2,3,2,1,5
llt0ap,2.84,CS,4,5,4,1,4
brc0cn,3.4,MAE,3,2,3,5,1
olu8ln,2.67,CS,2,1,1,3,5
ijc1bx,3.93,CS,5,4,3,4,2
zwt8cl,3.67,CHE,1,2,2,4,4
urh4sq,3.01,ECE,3,5,4,4,5
zwr2ja,2.51,CS,2,3,3,2,2
fxe5zw,3.74,CHE,2,1,4,2,5
lbc4rz,3.15,CS,2,3,1,4,2
pvo3mf,3.7,MAE,5,4,1,5,5
pbm4fa,2.56,MSE,5,2,5,2,4
jik8ff,2.96,CS,5,2,5,2,4
kmu8sx,3.2,CPE,4,5,3,1,1
dxq4fw,3.22,CS,2,2,5,1,3
vkk9ye,3.02,CS,3,1,4,5,0
ztn9wh,3.45,CS,5,4,5,2,4
fce0fm,2.77,ECE,5,3,4,2,4
wmp3co,3.14,CHE,2,4,5,3,2
mwe5id,3.25,CHE,5,2,5,5,3
eki2np,3.41,CS,4,3,5,5,4
oxg1cr,3.48,CHE,4,5,2,3,5
quy5tw,2.75,MAE,5,4,2,3,3
dvh5sc,2.59,CS,2,3,5,1,0
jke8mf,3.71,CS,2,3,4,5,5
mfo8dg,3.33,CS,2,3,3,5,2
cjx4dt,2.9,ECE,1,1,1,3,1
tqb5mf,3.82,CS,5,4,2,4,5
orr8jj,3.25,CS,2,3,5,4,0
gvv2zv,3.67,CS,4,4,1,1,5
fee2vu,3.23,CS,3,3,2,4,3
peh9hj,4,MSE,3,5,3,4,3
xjt2cb,3.9,CS,2,5,4,4,0
iqp0cq,3.1,CS,3,5,5,2,3
zmt2kc,3.59,MSE,3,2,3,1,5
sof9bc,3.46,CHE,1,3,2,3,1
nhw6kc,3.75,CHE,4,2,5,4,5
usf4nk,2.81,CS,4,4,1,2,1
bui7gm,3.47,MSE,1,2,4,4,3
lbc9bv,3.62,CS,1,4,2,2,5
zuu8eb,2.5,MSE,3,4,4,1,3
zef0jw,2.73,CS,5,4,5,4,1
bdi8rl,2.38,CS,3,2,3,2,3
wtx8kj,3.09,CS,1,3,4,5,4
gtc5xx,3.49,CHE,4,2,1,5,2
nms2bu,3.8,CS,3,3,2,2,5
sgb7oo,3.23,CS,5,3,1,4,4
ovd5cu,3.85,CPE,3,4,4,4,3
scm3ql,2.65,MAE,2,2,3,1,3
ern0yc,2.52,CS,3,3,3,1,2
lig7np,3.18,CS,1,5,1,3,3
gux2xr,3.35,ECE,4,3,5,1,2
dzc2rr,3.19,CS,4,5,5,4,5
ajr8rb,2.37,CS,1,2,3,3,1
ixr8ly,3.16,MSE,2,2,1,1,2
cjk9mc,2.68,CS,1,2,1,2,2
gvu9sd,3.47,MSE,3,3,1,5,4
svz4ik,3.35,ECE,1,1,4,1,3
ohd8so,2.82,SYS,1,3,5,1,5
yru5ed,2.99,ECE,2,3,5,2,1
qtf8dh,2.78,ECE,3,4,4,4,0
tcv6gz,3.17,CS,5,4,2,2,2
uuv5mu,3.58,CPE,5,3,4,1,0
wnl0bm,2.81,CS,4,5,1,4,3
bmg3vt,3.4,CS,1,4,4,3,2
ikv9gq,2.99,CS,4,3,1,1,0
qjz0zb,2.88,CS,2,1,3,2,4
ezs2go,3.16,MSE,5,5,1,3,0
ihd8fh,2.79,ECE,1,2,5,5,4
frw9yz,2.98,CHE,2,3,4,3,1
hqk0fl,2.72,CS,2,3,1,2,3
tzq5eq,3.99,CHE,1,5,2,3,5
goo4fq,3.21,CHE,2,4,3,2,0
grl0zg,2.92,MSE,1,4,2,1,2
psc0gi,3.29,CS,1,4,2,4,3
yvb4yi,3.16,CS,3,2,2,5,0
exp1km,3.11,SYS,4,5,3,4,2
loy4xn,3.45,CS,2,5,3,4,2
otv9zo,3.5,CS,2,4,3,4,5
wmc8xq,2.99,MAE,3,4,3,2,5
uxe0hp,2.97,CS,3,1,2,2,2
bbk3hc,3.09,CS,3,1,5,5,5
ryx1az,2.28,CS,5,3,5,2,2
fin7zu,2.59,CS,5,3,3,2,0
xoz1eg,3.75,CS,5,5,4,2,1
jub9ir,3.86,ECE,1,5,1,2,5
quw6eb,3.1,ECE,2,2,4,1,4
lto6qq,3.43,MAE,4,2,4,5,4
auf7ct,3.32,CPE,1,1,4,2,4
ugi8fp,4,MAE,2,3,5,5,1
rhc1jk,3.65,CPE,2,1,1,3,2
pjy1in,3.15,ECE,3,1,4,1,2
txx1ne,2.82,CPE,3,3,3,2,3
ptw1uc,2.56,CHE,1,2,5,1,4
oyv5ey,3.28,SYS,3,3,3,1,4
cww9yr,2.9,CHE,2,4,3,3,2
rdi4fs,2.63,CPE,3,4,4,5,4
den5gk,2.94,SYS,5,4,3,1,2
lsg5el,2.77,CS,3,5,1,4,2
fkv9db,3.87,CS,2,2,3,3,5
mqc4kl,3.55,ECE,1,2,4,4,2
ugr3uh,3.2,CHE,4,5,3,3,0
unc9wj,3.79,SYS,3,1,5,4,0
krm8ft,3.23,CS,2,4,5,4,0
fhw9xc,2.86,CS,4,4,5,1,0
fec5bj,3.81,CHE,4,1,2,1,1
uxs6lz,3.42,CS,5,3,5,3,3
cgw1oe,2.79,CS,4,3,5,5,3
iog9xz,3.12,ECE,2,2,2,1,2
omv7jt,2.85,MAE,2,5,5,1,4
cfh6gp,2.65,ECE,3,2,4,2,0
cfo3ph,3.57,CS,3,3,5,1,3
kvz9vv,3.96,CS,3,1,5,5,3
tsb7iy,2.64,CS,4,2,2,2,0
qsn9ch,3.43,SYS,4,4,4,4,1
paa0no,2.94,CPE,5,4,3,4,1
mok5zu,3.01,CS,3,1,1,2,3
gpv1po,2.96,SYS,1,3,4,2,1
sqt8tf,2.85,MSE,5,4,3,2,5
xnt9ab,3.22,CS,1,4,4,3,0
dld2tx,2.87,CS,4,5,3,5,3
mhp9pi,3.31,CS,5,2,3,5,0
xzo6yg,3.18,ECE,5,3,4,4,1
ely8po,3.1,SYS,2,2,2,4,0
cvj8zh,2.84,ECE,4,3,4,4,1
bly9ke,2.97,CPE,4,4,4,1,1
byx9re,3.5,CS,5,5,3,4,0
mjc5nv,3.4,MSE,4,2,1,2,1
naq5rp,2.81,ECE,5,4,3,4,5
ytv6lp,3.24,CS,2,3,5,2,2
ajz9rh,3.5,SYS,5,2,4,3,0
nyw3wr,2.53,ECE,4,2,4,1,2
nxe4tk,3.42,CS,4,4,2,1,0
gtw0rf,2.93,SYS,5,2,3,5,1
xmn6an,3.43,SYS,5,5,2,3,1
ohl7we,2.89,CS,5,5,4,2,3
rwz1mg,2.48,SYS,3,4,3,3,5
kdm0uj,2.55,ECE,4,3,3,1,3
rvz1yh,3.22,CS,4,4,5,2,2
jut4pd,3.3,MSE,3,5,5,3,1
jnt2xh,2.84,SYS,5,1,1,1,3
wze5vt,3.46,CS,2,1,5,2,1
mzb9bg,2.54,CS,5,2,3,2,0
syw1mq,3.17,CS,5,2,5,1,3
zqn1nt,2.72,CS,3,1,1,2,2
gfr5nq,2.94,CHE,4,5,4,1,3
abk3ay,3.22,ECE,5,2,5,4,1
kcs2hm,2.86,MAE,4,4,3,4,4
ytt5oq,3.05,ECE,1,4,4,2,4
kgi4jn,3.6,CHE,4,5,3,2,5
uco0jv,2.97,ECE,2,2,4,1,1
ohw5xe,3.53,CS,2,4,3,2,0
dmr1ww,2.75,ECE,5,2,5,5,3
bcv8ie,3.41,SYS,4,2,5,4,4
nzt3ly,3.78,CS,5,4,1,2,0
hqn4io,2.21,CPE,3,1,4,2,1
gie5er,2.88,ECE,2,4,1,3,0
kfb1ow,3.43,CS,5,5,2,2,1
qzs5mu,3.12,MAE,3,3,5,5,5
pbh9oi,3.35,ECE,5,4,4,4,3
ezd8ha,2.96,CS,4,2,1,3,0
ezd9kl,3.23,CS,4,2,1,1,3
wnz5ov,3.14,ECE,4,4,2,1,0
eth4fw,3.67,CPE,4,3,1,4,1
czp9wg,3.3,MAE,1,4,3,1,1
uib0pn,3.34,ECE,3,3,5,5,0
fvh0og,3.04,SYS,3,3,1,2,5
xtp0kx,3,MAE,4,5,1,4,1
nli8sb,3.03,MAE,1,2,2,3,2
onr1ek,3.36,CS,4,2,3,2,2
ria7kq,3.03,ECE,1,3,1,1,3
ezh0nn,3.32,CHE,4,2,5,1,2
lib2dr,4,MSE,2,1,5,3,2
pex3cj,3.55,CS,2,3,1,5,5
fla4sc,3.07,CPE,5,2,3,3,5
xmz3cy,3.68,CS,4,1,5,4,4
sye5kz,3.04,MSE,3,5,5,3,4
ayk8sv,2.38,CS,5,2,3,1,5
yub9bx,2.8,CS,2,1,3,5,4
tzy4vw,2.45,CPE,4,4,1,5,5
wek4bk,3.06,CS,5,4,4,3,4
iax3zx,3.21,ECE,4,1,2,4,1
lia9gw,3.87,CS,2,3,4,1,5
byu0pu,3.33,SYS,5,3,4,2,3
ytu8ks,3.11,SYS,2,2,5,5,3
rem9ir,3.53,ECE,1,4,3,3,5
hta7cn,2.32,MAE,2,3,5,4,2
nvt0tg,3.29,CPE,4,3,2,4,3
wwf1rc,3.51,CPE,3,4,1,1,2
sbk8ql,2.61,CS,2,5,2,5,3
ywa8nr,3.66,ECE,3,3,5,1,0
